original_id,original_data_type,title,L1_cluster_id,L1_cluster_title,L2_cluster_id,L2_cluster_title
45,numeric,Numeric: ID 45,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
46,numeric,Numeric: ID 46,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
47,numeric,Numeric: ID 47,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
48,numeric,Numeric: ID 48,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
49,numeric,Numeric: ID 49,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
50,numeric,Numeric: ID 50,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
51,numeric,Numeric: ID 51,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
52,numeric,Numeric: ID 52,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
53,numeric,Numeric: ID 53,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
54,numeric,Numeric: ID 54,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
55,numeric,Numeric: ID 55,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
56,numeric,Numeric: ID 56,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
57,numeric,Numeric: ID 57,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
58,numeric,Numeric: ID 58,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
59,numeric,Numeric: ID 59,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
60,numeric,Numeric: ID 60,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
61,numeric,Numeric: ID 61,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
62,numeric,Numeric: ID 62,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
63,numeric,Numeric: ID 63,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
64,numeric,Numeric: ID 64,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
65,numeric,Numeric: ID 65,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
66,numeric,Numeric: ID 66,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
67,numeric,Numeric: ID 67,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
68,numeric,Numeric: ID 68,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
69,numeric,Numeric: ID 69,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
70,numeric,Numeric: ID 70,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
71,numeric,Numeric: ID 71,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
72,numeric,Numeric: ID 72,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
73,numeric,Numeric: ID 73,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
74,numeric,Numeric: ID 74,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
75,numeric,Numeric: ID 75,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
76,numeric,Numeric: ID 76,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
77,numeric,Numeric: ID 77,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
78,numeric,Numeric: ID 78,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
79,numeric,Numeric: ID 79,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
80,numeric,Numeric: ID 80,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
81,numeric,Numeric: ID 81,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
82,numeric,Numeric: ID 82,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
83,numeric,Numeric: ID 83,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
84,numeric,Numeric: ID 84,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
85,numeric,Numeric: ID 85,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
86,numeric,Numeric: ID 86,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
87,numeric,Numeric: ID 87,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
88,numeric,Numeric: ID 88,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
89,numeric,Numeric: ID 89,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
90,numeric,Numeric: ID 90,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
91,numeric,Numeric: ID 91,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
92,numeric,Numeric: ID 92,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
93,numeric,Numeric: ID 93,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
94,numeric,Numeric: ID 94,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
95,numeric,Numeric: ID 95,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
96,numeric,Numeric: ID 96,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
97,numeric,Numeric: ID 97,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
98,numeric,Numeric: ID 98,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
99,numeric,Numeric: ID 99,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
100,numeric,Numeric: ID 100,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
101,numeric,Numeric: ID 101,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
102,numeric,Numeric: ID 102,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
103,numeric,Numeric: ID 103,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
104,numeric,Numeric: ID 104,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
105,numeric,Numeric: ID 105,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
106,numeric,Numeric: ID 106,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
107,numeric,Numeric: ID 107,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
108,numeric,Numeric: ID 108,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
109,numeric,Numeric: ID 109,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
110,numeric,Numeric: ID 110,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
111,numeric,Numeric: ID 111,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
112,numeric,Numeric: ID 112,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
113,numeric,Numeric: ID 113,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
114,numeric,Numeric: ID 114,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
115,numeric,Numeric: ID 115,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
116,numeric,Numeric: ID 116,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
117,numeric,Numeric: ID 117,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
118,numeric,Numeric: ID 118,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
119,numeric,Numeric: ID 119,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
120,numeric,Numeric: ID 120,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
121,numeric,Numeric: ID 121,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
122,numeric,Numeric: ID 122,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
123,numeric,Numeric: ID 123,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
124,numeric,Numeric: ID 124,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
125,numeric,Numeric: ID 125,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
126,numeric,Numeric: ID 126,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
127,numeric,Numeric: ID 127,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
128,numeric,Numeric: ID 128,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
129,numeric,Numeric: ID 129,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
130,numeric,Numeric: ID 130,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
131,numeric,Numeric: ID 131,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
132,numeric,Numeric: ID 132,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
133,numeric,Numeric: ID 133,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
134,numeric,Numeric: ID 134,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
135,numeric,Numeric: ID 135,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
136,numeric,Numeric: ID 136,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
137,numeric,Numeric: ID 137,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
138,numeric,Numeric: ID 138,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
139,numeric,Numeric: ID 139,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
140,numeric,Numeric: ID 140,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
141,numeric,Numeric: ID 141,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
142,numeric,Numeric: ID 142,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
143,numeric,Numeric: ID 143,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
144,numeric,Numeric: ID 144,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
145,numeric,Numeric: ID 145,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
146,numeric,Numeric: ID 146,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
147,numeric,Numeric: ID 147,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
148,numeric,Numeric: ID 148,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
149,numeric,Numeric: ID 149,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
150,numeric,Numeric: ID 150,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
151,numeric,Numeric: ID 151,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
152,numeric,Numeric: ID 152,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
153,numeric,Numeric: ID 153,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
154,numeric,Numeric: ID 154,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
155,numeric,Numeric: ID 155,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
156,numeric,Numeric: ID 156,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
157,numeric,Numeric: ID 157,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
158,numeric,Numeric: ID 158,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
159,numeric,Numeric: ID 159,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
160,numeric,Numeric: ID 160,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
161,numeric,Numeric: ID 161,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
162,numeric,Numeric: ID 162,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
163,numeric,Numeric: ID 163,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
164,numeric,Numeric: ID 164,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
165,numeric,Numeric: ID 165,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
166,numeric,Numeric: ID 166,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
167,numeric,Numeric: ID 167,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
168,numeric,Numeric: ID 168,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
169,numeric,Numeric: ID 169,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
170,numeric,Numeric: ID 170,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
171,numeric,Numeric: ID 171,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
172,numeric,Numeric: ID 172,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
173,numeric,Numeric: ID 173,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
174,numeric,Numeric: ID 174,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
175,numeric,Numeric: ID 175,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
176,numeric,Numeric: ID 176,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
177,numeric,Numeric: ID 177,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
178,numeric,Numeric: ID 178,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
179,numeric,Numeric: ID 179,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
180,numeric,Numeric: ID 180,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
181,numeric,Numeric: ID 181,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
182,numeric,Numeric: ID 182,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
183,numeric,Numeric: ID 183,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
184,numeric,Numeric: ID 184,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
185,numeric,Numeric: ID 185,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
186,numeric,Numeric: ID 186,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
187,numeric,Numeric: ID 187,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
188,numeric,Numeric: ID 188,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
189,numeric,Numeric: ID 189,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
190,numeric,Numeric: ID 190,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
191,numeric,Numeric: ID 191,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
192,numeric,Numeric: ID 192,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
193,numeric,Numeric: ID 193,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
194,numeric,Numeric: ID 194,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
195,numeric,Numeric: ID 195,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
196,numeric,Numeric: ID 196,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
197,numeric,Numeric: ID 197,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
198,numeric,Numeric: ID 198,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
199,numeric,Numeric: ID 199,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
200,numeric,Numeric: ID 200,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
201,numeric,Numeric: ID 201,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
202,numeric,Numeric: ID 202,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
203,numeric,Numeric: ID 203,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
204,numeric,Numeric: ID 204,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
205,numeric,Numeric: ID 205,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
206,numeric,Numeric: ID 206,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
207,numeric,Numeric: ID 207,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
208,numeric,Numeric: ID 208,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
209,numeric,Numeric: ID 209,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
210,numeric,Numeric: ID 210,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
211,numeric,Numeric: ID 211,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
212,numeric,Numeric: ID 212,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
213,numeric,Numeric: ID 213,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
214,numeric,Numeric: ID 214,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
215,numeric,Numeric: ID 215,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
216,numeric,Numeric: ID 216,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
217,numeric,Numeric: ID 217,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
218,numeric,Numeric: ID 218,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
219,numeric,Numeric: ID 219,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
220,numeric,Numeric: ID 220,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
221,numeric,Numeric: ID 221,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
222,numeric,Numeric: ID 222,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
223,numeric,Numeric: ID 223,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
224,numeric,Numeric: ID 224,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
225,numeric,Numeric: ID 225,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
226,numeric,Numeric: ID 226,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
227,numeric,Numeric: ID 227,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
