original_id,original_data_type,title,L1_cluster_id,L1_cluster_title,L2_cluster_id,L2_cluster_title
50,numeric,Numeric: ID 50,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
51,numeric,Numeric: ID 51,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
52,numeric,Numeric: ID 52,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
53,numeric,Numeric: ID 53,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
54,numeric,Numeric: ID 54,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
55,numeric,Numeric: ID 55,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
56,numeric,Numeric: ID 56,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
57,numeric,Numeric: ID 57,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
58,numeric,Numeric: ID 58,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
59,numeric,Numeric: ID 59,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
60,numeric,Numeric: ID 60,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
61,numeric,Numeric: ID 61,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
62,numeric,Numeric: ID 62,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
63,numeric,Numeric: ID 63,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
64,numeric,Numeric: ID 64,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
65,numeric,Numeric: ID 65,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
66,numeric,Numeric: ID 66,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
67,numeric,Numeric: ID 67,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
68,numeric,Numeric: ID 68,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
69,numeric,Numeric: ID 69,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
70,numeric,Numeric: ID 70,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
71,numeric,Numeric: ID 71,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
72,numeric,Numeric: ID 72,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
73,numeric,Numeric: ID 73,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
74,numeric,Numeric: ID 74,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
75,numeric,Numeric: ID 75,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
76,numeric,Numeric: ID 76,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
77,numeric,Numeric: ID 77,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
78,numeric,Numeric: ID 78,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
79,numeric,Numeric: ID 79,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
80,numeric,Numeric: ID 80,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
81,numeric,Numeric: ID 81,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
82,numeric,Numeric: ID 82,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
83,numeric,Numeric: ID 83,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
84,numeric,Numeric: ID 84,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
85,numeric,Numeric: ID 85,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
86,numeric,Numeric: ID 86,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
87,numeric,Numeric: ID 87,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
88,numeric,Numeric: ID 88,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
89,numeric,Numeric: ID 89,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
90,numeric,Numeric: ID 90,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
91,numeric,Numeric: ID 91,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
92,numeric,Numeric: ID 92,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
93,numeric,Numeric: ID 93,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
94,numeric,Numeric: ID 94,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
95,numeric,Numeric: ID 95,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
96,numeric,Numeric: ID 96,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
97,numeric,Numeric: ID 97,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
98,numeric,Numeric: ID 98,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
99,numeric,Numeric: ID 99,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
100,numeric,Numeric: ID 100,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
101,numeric,Numeric: ID 101,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
102,numeric,Numeric: ID 102,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
103,numeric,Numeric: ID 103,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
104,numeric,Numeric: ID 104,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
105,numeric,Numeric: ID 105,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
106,numeric,Numeric: ID 106,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
107,numeric,Numeric: ID 107,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
108,numeric,Numeric: ID 108,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
109,numeric,Numeric: ID 109,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
110,numeric,Numeric: ID 110,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
111,numeric,Numeric: ID 111,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
112,numeric,Numeric: ID 112,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
113,numeric,Numeric: ID 113,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
114,numeric,Numeric: ID 114,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
115,numeric,Numeric: ID 115,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
116,numeric,Numeric: ID 116,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
117,numeric,Numeric: ID 117,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
118,numeric,Numeric: ID 118,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
119,numeric,Numeric: ID 119,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
120,numeric,Numeric: ID 120,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
121,numeric,Numeric: ID 121,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
122,numeric,Numeric: ID 122,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
123,numeric,Numeric: ID 123,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
124,numeric,Numeric: ID 124,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
125,numeric,Numeric: ID 125,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
126,numeric,Numeric: ID 126,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
127,numeric,Numeric: ID 127,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
128,numeric,Numeric: ID 128,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
129,numeric,Numeric: ID 129,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
130,numeric,Numeric: ID 130,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
131,numeric,Numeric: ID 131,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
132,numeric,Numeric: ID 132,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
133,numeric,Numeric: ID 133,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
134,numeric,Numeric: ID 134,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
135,numeric,Numeric: ID 135,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
136,numeric,Numeric: ID 136,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
137,numeric,Numeric: ID 137,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
138,numeric,Numeric: ID 138,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
139,numeric,Numeric: ID 139,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
140,numeric,Numeric: ID 140,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
141,numeric,Numeric: ID 141,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
142,numeric,Numeric: ID 142,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
143,numeric,Numeric: ID 143,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
144,numeric,Numeric: ID 144,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
145,numeric,Numeric: ID 145,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
146,numeric,Numeric: ID 146,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
147,numeric,Numeric: ID 147,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
148,numeric,Numeric: ID 148,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
149,numeric,Numeric: ID 149,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
150,numeric,Numeric: ID 150,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
151,numeric,Numeric: ID 151,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
152,numeric,Numeric: ID 152,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
153,numeric,Numeric: ID 153,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
154,numeric,Numeric: ID 154,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
155,numeric,Numeric: ID 155,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
156,numeric,Numeric: ID 156,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
157,numeric,Numeric: ID 157,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
158,numeric,Numeric: ID 158,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
159,numeric,Numeric: ID 159,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
160,numeric,Numeric: ID 160,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
161,numeric,Numeric: ID 161,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
162,numeric,Numeric: ID 162,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
163,numeric,Numeric: ID 163,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
164,numeric,Numeric: ID 164,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
165,numeric,Numeric: ID 165,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
166,numeric,Numeric: ID 166,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
167,numeric,Numeric: ID 167,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
168,numeric,Numeric: ID 168,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
169,numeric,Numeric: ID 169,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
170,numeric,Numeric: ID 170,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
171,numeric,Numeric: ID 171,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
172,numeric,Numeric: ID 172,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
173,numeric,Numeric: ID 173,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
174,numeric,Numeric: ID 174,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
175,numeric,Numeric: ID 175,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
176,numeric,Numeric: ID 176,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
177,numeric,Numeric: ID 177,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
178,numeric,Numeric: ID 178,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
179,numeric,Numeric: ID 179,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
180,numeric,Numeric: ID 180,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
181,numeric,Numeric: ID 181,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
182,numeric,Numeric: ID 182,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
183,numeric,Numeric: ID 183,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
184,numeric,Numeric: ID 184,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
185,numeric,Numeric: ID 185,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
186,numeric,Numeric: ID 186,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
187,numeric,Numeric: ID 187,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
188,numeric,Numeric: ID 188,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
189,numeric,Numeric: ID 189,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
190,numeric,Numeric: ID 190,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
191,numeric,Numeric: ID 191,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
192,numeric,Numeric: ID 192,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
193,numeric,Numeric: ID 193,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
194,numeric,Numeric: ID 194,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
195,numeric,Numeric: ID 195,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
196,numeric,Numeric: ID 196,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
197,numeric,Numeric: ID 197,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
198,numeric,Numeric: ID 198,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
199,numeric,Numeric: ID 199,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
200,numeric,Numeric: ID 200,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
201,numeric,Numeric: ID 201,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
202,numeric,Numeric: ID 202,7046,"Partners, No Dependents, High Tenure",7048,"Diverse Customer Base, Varying Tenure"
203,numeric,Numeric: ID 203,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
204,numeric,Numeric: ID 204,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
205,numeric,Numeric: ID 205,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
206,numeric,Numeric: ID 206,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
207,numeric,Numeric: ID 207,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
208,numeric,Numeric: ID 208,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
209,numeric,Numeric: ID 209,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
210,numeric,Numeric: ID 210,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
211,numeric,Numeric: ID 211,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
212,numeric,Numeric: ID 212,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
213,numeric,Numeric: ID 213,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
214,numeric,Numeric: ID 214,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
215,numeric,Numeric: ID 215,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
216,numeric,Numeric: ID 216,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
217,numeric,Numeric: ID 217,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
218,numeric,Numeric: ID 218,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
219,numeric,Numeric: ID 219,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
220,numeric,Numeric: ID 220,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
221,numeric,Numeric: ID 221,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
222,numeric,Numeric: ID 222,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
223,numeric,Numeric: ID 223,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
