CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,original_id,original_data_type,title,L1_cluster_id,L1_cluster_title,L2_cluster_id,L2_cluster_title
9191-MYQKX,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,20,numeric,Numeric: ID 20,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,21,numeric,Numeric: ID 21,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,22,numeric,Numeric: ID 22,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,23,numeric,Numeric: ID 23,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,24,numeric,Numeric: ID 24,7046,"Partners, No Dependents, High Tenure",7048,"Diverse Customer Base, Varying Tenure"
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,25,numeric,Numeric: ID 25,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,26,numeric,Numeric: ID 26,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,27,numeric,Numeric: ID 27,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,28,numeric,Numeric: ID 28,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,29,numeric,Numeric: ID 29,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,30,numeric,Numeric: ID 30,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,31,numeric,Numeric: ID 31,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,32,numeric,Numeric: ID 32,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,33,numeric,Numeric: ID 33,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,34,numeric,Numeric: ID 34,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,35,numeric,Numeric: ID 35,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,36,numeric,Numeric: ID 36,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,37,numeric,Numeric: ID 37,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes,1,75,4287,Product dissatisfaction,38,numeric,Numeric: ID 38,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,39,numeric,Numeric: ID 39,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,40,numeric,Numeric: ID 40,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,41,numeric,Numeric: ID 41,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,42,numeric,Numeric: ID 42,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,43,numeric,Numeric: ID 43,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,44,numeric,Numeric: ID 44,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,45,numeric,Numeric: ID 45,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,46,numeric,Numeric: ID 46,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,47,numeric,Numeric: ID 47,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531,Yes,1,94,2283,Service dissatisfaction,48,numeric,Numeric: ID 48,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,49,numeric,Numeric: ID 49,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,50,numeric,Numeric: ID 50,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,51,numeric,Numeric: ID 51,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,52,numeric,Numeric: ID 52,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,53,numeric,Numeric: ID 53,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,54,numeric,Numeric: ID 54,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,55,numeric,Numeric: ID 55,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,56,numeric,Numeric: ID 56,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,57,numeric,Numeric: ID 57,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,58,numeric,Numeric: ID 58,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,59,numeric,Numeric: ID 59,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,60,numeric,Numeric: ID 60,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,61,numeric,Numeric: ID 61,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,62,numeric,Numeric: ID 62,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,63,numeric,Numeric: ID 63,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,64,numeric,Numeric: ID 64,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
6323-AYBRX,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high,65,numeric,Numeric: ID 65,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
4385-GZQXV,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,66,numeric,Numeric: ID 66,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
6366-ZGQGL,1,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction,67,numeric,Numeric: ID 67,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
